HIER FORMATIERTEN WERTE EINFÜGEN;;;;;;
Spalte1;o;nn;Customer;DEMAND;Produktkosten Ges.;Preis pro Produkt
1;1;1;1;3;36; 12 
2;1;1;2;2;15; 8 
3;2;2;1;4;34; 9 
4;2;2;2;1;17; 17 
5;3;3;1;4;30; 8 
6;3;3;2;1;21; 21 
7;4;4;1;2;27; 14 
8;4;4;2;3;24; 8 
9;5;5;1;1;8; 8 
10;5;5;2;4;43; 11 
11;6;6;1;1;36; 36 
12;6;6;2;4;15; 4 
13;7;7;1;4;48; 12 
14;7;7;2;1;3; 3 
15;8;8;1;3;17; 6 
16;8;8;2;2;34; 17 
17;9;9;1;1;27; 27 
18;9;9;2;4;24; 6 
19;10;10;1;2;32; 16 
20;10;10;2;3;19; 6 
21;11;11;1;3;28; 9 
22;11;11;2;2;23; 12 
23;12;12;1;2;26; 13 
24;12;12;2;3;25; 8 
25;13;13;1;2;36; 18 
26;13;13;2;3;15; 5 
27;14;14;1;4;46; 12 
28;14;14;2;1;5; 5 
29;15;15;1;4;37; 9 
30;15;15;2;1;14; 14 
31;16;16;1;1;6; 6 
32;16;16;2;4;45; 11 
33;17;17;1;4;43; 11 
34;17;17;2;1;8; 8 
35;18;18;1;3;33; 11 
36;18;18;2;2;18; 9 
37;19;19;1;3;13; 4 
38;19;19;2;2;38; 19 
39;20;20;1;2;16; 8 
40;20;20;2;3;35; 12 
41;21;21;1;4;46; 12 
42;21;21;2;1;5; 5 
43;22;22;1;3;18; 6 
44;22;22;2;2;33; 17 
45;23;23;1;3;14; 5 
46;23;23;2;2;37; 19 
47;24;24;1;3;31; 10 
48;24;24;2;2;21; 11 
49;25;25;1;2;24; 12 
50;25;25;2;3;27; 9 
51;26;26;1;3;22; 7 
52;26;26;2;2;29; 15 
53;27;27;1;1;22; 22 
54;27;27;2;4;29; 7 
55;28;28;1;2;24; 12 
56;28;28;2;3;27; 9 
57;29;29;1;4;40; 10 
58;29;29;2;1;10; 10 
59;30;30;1;1;35; 35 
60;30;30;2;4;16; 4 
61;31;31;1;2;7; 4 
62;31;31;2;3;44; 15 
63;32;32;1;4;41; 10 
64;32;32;2;1;10; 10 
65;33;33;1;3;50; 17 
66;33;33;2;2;1; 1 
67;34;34;1;1;13; 13 
68;34;34;2;4;38; 10 
69;35;35;1;3;34; 11 
70;35;35;2;2;17; 9 
71;36;36;1;2;13; 7 
72;36;36;2;3;38; 13 
73;37;37;1;2;28; 14 
74;37;37;2;3;23; 8 
75;38;38;1;3;31; 10 
76;38;38;2;2;20; 10 
77;39;39;1;1;46; 46 
78;39;39;2;4;5; 1 
79;40;40;1;1;11; 11 
80;40;40;2;4;41; 10 
81;41;41;1;3;44; 15 
82;41;41;2;2;7; 4 
83;42;42;1;3;42; 14 
84;42;42;2;2;9; 5 
85;43;43;1;1;27; 27 
86;43;43;2;4;24; 6 
87;44;44;1;1;7; 7 
88;44;44;2;4;44; 11 
89;45;45;1;2;36; 18 
90;45;45;2;3;15; 5 
91;46;46;1;1;10; 10 
92;46;46;2;4;41; 10 
93;47;47;1;4;34; 9 
94;47;47;2;1;17; 17 
95;48;48;1;2;16; 8 
96;48;48;2;3;35; 12 
97;49;49;1;3;13; 4 
98;49;49;2;2;38; 19 
99;50;50;1;3;21; 7 
100;50;50;2;2;30; 15 
101;51;51;1;3;20; 7 
102;51;51;2;2;31; 16 
103;52;52;1;3;42; 14 
104;52;52;2;2;9; 5 
105;53;53;1;3;41; 14 
106;53;53;2;2;10; 5 
107;54;54;1;3;40; 13 
108;54;54;2;2;11; 6 
109;55;55;1;3;5; 2 
110;55;55;2;2;46; 23 
111;56;56;1;4;37; 9 
112;56;56;2;1;14; 14 
113;57;57;1;4;39; 10 
114;57;57;2;1;12; 12 
115;58;58;1;3;18; 6 
116;58;58;2;2;33; 17 
117;59;59;1;1;15; 15 
118;59;59;2;4;36; 9 
119;60;60;1;4;47; 12 
120;60;60;2;1;4; 4 
121;61;61;1;2;7; 4 
122;61;61;2;3;44; 15 
123;62;62;1;1;18; 18 
124;62;62;2;4;33; 8 
125;63;63;1;2;21; 11 
126;63;63;2;3;30; 10 
127;64;64;1;2;3; 2 
128;64;64;2;3;48; 16 
129;65;65;1;3;33; 11 
130;65;65;2;2;18; 9 
131;66;66;1;3;30; 10 
132;66;66;2;2;20; 10 
133;67;67;1;3;18; 6 
134;67;67;2;2;33; 17 
135;68;68;1;2;30; 15 
136;68;68;2;3;21; 7 
137;69;69;1;4;36; 9 
138;69;69;2;1;15; 15 
139;70;70;1;2;9; 5 
140;70;70;2;3;42; 14 
141;71;71;1;2;20; 10 
142;71;71;2;3;30; 10 
143;72;72;1;4;47; 12 
144;72;72;2;1;4; 4 
145;73;73;1;2;10; 5 
146;73;73;2;3;41; 14 
147;74;74;1;4;38; 10 
148;74;74;2;1;13; 13 
149;75;75;1;2;25; 13 
150;75;75;2;3;26; 9 
151;76;76;1;3;16; 5 
152;76;76;2;2;35; 18 
153;77;77;1;4;28; 7 
154;77;77;2;1;23; 23 
155;78;78;1;1;3; 3 
156;78;78;2;4;48; 12 
157;79;79;1;1;13; 13 
158;79;79;2;4;38; 10 
159;80;80;1;4;48; 12 
160;80;80;2;1;3; 3 
161;81;81;1;4;47; 12 
162;81;81;2;1;4; 4 
163;82;82;1;3;23; 8 
164;82;82;2;2;28; 14 
165;83;83;1;1;4; 4 
166;83;83;2;4;47; 12 
167;84;84;1;2;15; 8 
168;84;84;2;3;36; 12 
169;85;85;1;2;8; 4 
170;85;85;2;3;43; 14 
171;86;86;1;4;39; 10 
172;86;86;2;1;12; 12 
173;87;87;1;3;19; 6 
174;87;87;2;2;32; 16 
175;88;88;1;2;9; 5 
176;88;88;2;3;42; 14 
177;89;89;1;3;11; 4 
178;89;89;2;2;40; 20 
179;90;90;1;2;26; 13 
180;90;90;2;3;25; 8 
181;91;91;1;4;39; 10 
182;91;91;2;1;12; 12 
183;92;92;1;3;25; 8 
184;92;92;2;2;26; 13 
185;93;93;1;1;36; 36 
186;93;93;2;4;15; 4 
187;94;94;1;3;36; 12 
188;94;94;2;2;15; 8 
189;95;95;1;1;7; 7 
190;95;95;2;4;44; 11 
191;96;96;1;2;7; 4 
192;96;96;2;3;44; 15 
193;97;97;1;4;40; 10 
194;97;97;2;1;10; 10 
195;98;98;1;2;15; 8 
196;98;98;2;3;36; 12 
197;99;99;1;2;20; 10 
198;99;99;2;3;31; 10 
199;100;100;1;1;10; 10 
200;100;100;2;4;41; 10 
